RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,37,581889.4408,591322.0923,598498.8549,603509.9264,608724.2869,615734.3802,624762.8822,633540.6058,639746.4174,643157.6676,640937.543,634385.1827,625888.5965,619743.8044,616103.2246,614047.3165,615146.3545,619804.6924,627059.3057,634373.1518,640975.8916,647095.7997,650531.3759,651759.4769,651708.768,651793.9722,650154.9695,646869.9914,647037.6448,653023.8853,665036.2278,678757.7722,693549.8904,707559.1995,716247.1996,721178.7011,723158.4997,729165.4767,738154.9195,749469.4713,761571.8109,771028.0235,778706.7993,784937.1249,792151.9428,800381.2601,809743.408,820502.1519,832503.8787,843381.1129,852334.938,857599.6184,860336.9995,858692.6315,854574.2119,849678.9214,846269.0205,843457.4632,835058.4351,823394.6559,812289.6922,808369.5883,810618.9477,817021.0047,827595.7847,840721.2916,853907.8791,864642.1344,872705.3562,877704.339,876669.2192,871793.6063
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,31,224323.0815,225997.3935,227105.7594,226891.7739,226431.8944,225953.4455,225814.629,225834.4169,225898.0087,226216.1688,226748.9884,227753.2103,228666.5211,229397.0598,229483.5788,229532.8402,229233.5162,228938.3881,228197.7048,227912.6161,227941.919,228505.6735,229733.1549,231450.4674,233474.4174,234675.7578,234876.9281,234173.8614,233317.5367,233260.9851,234550.1171,236809.177,239564.2971,242344.2089,245225.6044,248662.9557,252333.7797,255704.252,258318.5987,260517.6281,262261.9352,263195.055,262993.901,262668.5407,262850.5669,263978.4087,266255.7558,269907.3348,274594.8014,279048.9108,281528.1177,282673.7191,282212.7135,280961.9673,278833.5688,277035.9405,276153.6423,275743.9614,275036.645,274672.7695,274990.0848,276412.8083,277914.7338,279600.8062,281472.369,283730.6641,285618.3639,287032.6955,287914.5863,288358.3285,288585.4576,289505.4896
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,187498.4656,188305.0571,189255.319,190112.3463,191072.8143,191912.7042,192759.0368,193513.3354,194345.2451,195231.9465,196156.017,197105.4702,197964.7984,198579.7499,199002.4401,199307.8237,199583.5561,199913.6071,200338.1963,200976.722,201854.411,202818.1748,203762.7327,204552.4708,205276.0476,205758.3351,205815.8354,205844.0854,206226.1857,207254.1894,208824.5793,210858.6178,213431.2345,216007.4955,218616.5632,221153.4574,224020.7051,227098.0435,230661.6678,234551.7168,237922.1422,240298.334,241848.8774,243765.1051,246413.7701,249552.9168,253888.5711,259031.7476,265019.7233,270607.5098,275607.6862,279857.5005,282830.791,284238.6266,284413.9133,284102.7524,283670.6698,282651.5336,281088.1788,279485.6556,278331.6404,277761.6072,277784.3263,278443.8618,279228.7564,280041.6248,280378.3564,280422.5664,280172.0929,279881.457,279992.3297,280453.605
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",4,13,266758.4579,268294.7886,269956.7286,271680.7369,273779.9256,275709.0514,277569.0951,279056.6955,280368.8178,281475.7891,282767.6561,284283.4986,285691.3769,286837.1811,287664.1163,288558.0875,289387.9842,290529.0178,292011.4907,293881.4279,296094.8181,298374.7992,301258.3238,304556.383,308390.5081,311839.7483,314192.8893,315688.0883,317266.0653,320072.3138,324606.8672,330043.0165,335975.2485,341730.1858,347446.2555,353537.5967,360813.8794,369331.814,379527.8089,390675.4097,401677.0359,411330.9723,419422.1317,426664.4465,433559.1233,440015.3138,446986.7953,455025.3287,465021.5144,476051.635,486911.283,495757.4344,500027.27,498535.8738,492092.4408,484148.604,475667.2482,467364.4816,459397.4398,453338.1019,450069.3161,449045.1505,449808.8977,451751.4326,454484.468,457444.9527,459943.8206,462128.9662,463913.866,464872.9864,465236.4354,465774.3792
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",6,73,584782.8738,586593.6526,588882.4519,590686.5302,592317.2221,593663.1042,594921.6096,596206.512,596844.0504,596636.6504,596187.0668,595975.0455,596953.1143,598300.7838,599053.9427,599567.0755,599575.042,600312.9917,600764.4667,601914.2127,604049.9477,607303.0278,611097.7393,615340.7404,619985.0287,624759.7525,627168.3411,627432.961,627247.9191,629779.1012,636313.1595,645451.5439,657044.9563,669058.4532,680730.6136,691748.9242,703354.458,717041.5833,732920.9148,749054.4457,762083.4013,769207.8519,771909.2411,774287.1238,779527.4443,787897.7905,803152.3121,825194.8972,852919.2449,878203.8386,896790.447,906977.4159,907305.1613,899150.5042,885777.4965,873755.8586,864625.2626,857882.7799,850646.6487,845447.0978,843623.9889,846793.9111,853585.3135,863095.5921,874521.2955,886475.3511,898027.4937,907502.8249,914022.212,917459.8108,919765.5468,924374.1406
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,59,717328.9233,714509.5962,713337.1962,713383.564,713410.4936,715404.2065,718925.9948,724721.1148,728976.9967,731083.064,728129.2822,721989.0769,715696.9093,713510.4884,713634.7579,714284.6738,714598.7545,716674.7811,720911.2489,726487.6018,731656.5594,735964.7166,738591.0421,740517.9451,742776.3515,745652.5831,746396.1316,744775.7522,743703.465,747170.8788,756118.9547,768322.7705,782646.3594,796521.8863,807397.0893,815234.5957,821298.0806,830567.1779,842520.3363,856722.612,868252.6671,876796.0886,882710.6578,891253.0482,902928.3916,917959.5205,937294.3605,961254.9411,988598.358,1013798.288,1032684.913,1042944.207,1042932.664,1036703.114,1027659.706,1022066.195,1017911.118,1014312.457,1005878.103,996195.3575,989419.5887,991278.396,999691.4232,1011766.499,1025748.217,1041966.794,1058697.797,1073259.586,1084369.126,1091769.06,1095424.924,1097697.581
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,47,709420.9734,715345.17,721589.3237,726211.7887,730992.0125,736269.2104,743023.0624,747468.1241,750038.0224,750435.1498,751751.3741,754414.6995,756488.8748,758010.169,759151.932,762223.2529,766324.6678,768292.5279,767260.5024,764591.2393,765529.7534,767845.0004,770698.5875,770389.664,770022.6043,769757.7143,770223.1771,770039.2973,768979.8636,767387.2803,767980.9952,769494.6227,772216.7692,774850.7193,776732.249,780198.3202,784938.789,790112.0268,795526.5153,798465.7198,801850.2903,803572.5763,805314.8829,809332.9394,815223.9481,820655.7854,824389.1561,828110.0236,834808.1292,840730.0184,845467.3874,849824.832,851697.2366,850151.7309,843077.4612,837514.6771,832713.1482,828446.8909,821361.6035,812806.6844,805424.6777,804719.8238,809149.6065,815511.6962,819476.061,820533.9805,819576.5278,816467.8829,813269.9639,811967.9295,813321.5808,815807.7984
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,86,289645.9852,291078.7265,292674.3851,294131.4812,295703.176,297022.4503,298291.1352,299465.9327,300864.3162,302338.3177,303419.677,304598.1937,305429.0348,306101.4711,306056.4446,306006.8814,306199.9848,306682.6313,307380.6215,308396.7792,310019.1305,312062.8446,314610.6863,317157.5455,319554.4188,321047.0346,321305.575,320966.0139,320868.2764,322083.1414,324454.0669,327638.3244,331509.1322,335568.3116,339656.4965,343721.8393,347958.9035,352396.7848,357558.2045,363466.0676,369201.3101,373872.5667,377392.882,380859.4622,385185.2989,390360.2268,398166.5116,407870.0412,419560.7671,430934.31,441105.004,450067.7611,457118.2546,462054.1757,464611.8942,466269.8947,467696.7869,469403.2323,470315.2975,471068.9387,472317.8119,474866.279,478186.1167,482422.5393,486761.6159,491294.9912,495085.4968,498703.8029,502343.1767,505545.7018,508499.5922,510984.5137
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,195472.9383,197536.6498,199616.5175,200999.1959,202314.983,203287.2571,204268.8505,204885.5993,205595.2308,206535.7493,207724.2813,208871.9222,209833.8436,210442.9285,210775.2574,210987.1949,211141.4674,211422.3911,211762.3033,212435.4356,213399.3084,214748.5452,216554.6592,218359.6873,219951.1611,220614.8073,220453.2153,220015.6149,220156.0519,221283.1516,223345.565,225936.7561,229123.4115,232402.8722,236117.2848,240117.9969,244346.7372,248444.038,252537.5621,256676.6937,259884.2721,261773.9589,262802.1074,264399.0722,267081.8136,270614.6209,276498.7884,284143.4072,292864.4172,301005.9317,307912.3835,313658.4347,317026.4694,318032.425,317381.3489,316389.6714,315335.4932,313900.4526,311989.746,310358.0182,309659.8477,309522.0521,309964.8054,310533.7591,311337.7451,312298.2156,312949.8168,313471.9637,313529.5889,313427.1244,313622.7757,314436.5436
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,65,367487.4686,369110.6972,370869.2592,372617.0419,374504.6112,376426.1536,378044.2641,379746.8877,380796.0071,381615.9908,382000.6134,382863.3031,383831.5784,384522.9139,384318.6452,384153.9807,384368.3981,385206.9109,386447.0137,387944.2647,390064.0631,392047.8649,394196.4414,396091.4406,398266.4766,399777.331,400351.1334,400236.3234,401105.3606,403812.337,408855.6412,415343.5682,423173.6113,431395.8117,439210.9776,446816.4254,454814.329,464120.1711,474706.8401,485685.1793,496310.8784,505487.5924,512743.6623,518827.0945,524784.7712,531581.2219,540102.119,550333.8409,562591.346,575048.9477,586122.6873,594047.3088,597391.2725,596003.0374,591188.0145,586214.2482,581640.2846,577593.557,572369.0912,567563.4529,564451.0417,563974.8761,565754.9637,568814.4141,572742.3355,576921.2428,580752.1783,584073.9851,586657.201,588957.3195,590863.4757,592930.9808
